No.,SMILES
1,O=C(N(C1CCN(CC1)CC[C@@H](C1C=CC(S(=O)(C)=O)=CC=1)C1C=C(F)C=C(F)C=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
3b,O=C(N(C1CCN(CC1)CCC(N1CCN(C2=CC=CC=C2)CC1)C1C=CC=CC=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
3c,O=C(N(C1CCN(CC1)CCC(N1CCN(C2=CC=CC(F)=C2)CC1)C1C=CC=CC=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
3e,O=C(N(C1CCN(CC1)CCC(N1CCN(S(C)(=O)=O)CC1)C1C=CC=CC=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
(S)-3g,O=C(N(C1CCN(CC1)CC[C@H](N1CCN(S(C(F)(F)F)(=O)=O)CC1)C1C=CC=CC=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
(S)-3h,O=C(N(C1CCN(CC1)CC[C@H](N1CCN(S(CC(F)(F)F)(=O)=O)CC1)C1C=CC=CC=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
(R)-5d,O=C(N(C1CCN(CC1)CC[C@H](C1CCN(S(C)(=O)=O)CC1)C1C=CC=CC=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
(R)-5f,O=C(N(C1CCN(CC1)CC[C@H](C1CCN(S(C(F)(F)F)(=O)=O)CC1)C1C=CC=CC=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
6,O=C(N(C1CCN(CC1)CC[C@H](N1CCN(S(C)(=O)=O)CC1)C1C=C(F)C=C(F)C=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
7b,O=C(N(C1CCN(CC1)CC[C@H](C1CCN(S(C)(=O)=O)CC1)C1C=C(OC)C=CC=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
7c,O=C(N(C1CCN(CC1)CC[C@H](C1CCN(S(C)(=O)=O)CC1)C1C=C(F)C=CC=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
7e,O=C(N(C1CCN(CC1)CC[C@H](C1CCN(S(C)(=O)=O)CC1)C1C=C(F)C=C(F)C=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
7f,O=C(N(C1CCN(CC1)CC[C@H](C1CCN(S(C)(=O)=O)CC1)C1C=C(F)C=C(Cl)C=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
7g,O=C(N(C1CCN(CC1)CC[C@H](C1CCN(S(C)(=O)=O)CC1)C1C=C(C)C=C(C)C=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
7h,O=C(N(C1CCN(CC1)CC[C@H](C1CCN(S(C)(=O)=O)CC1)C1C=C(Cl)C=CC=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
7i,O=C(N(C1CCN(CC1)CC[C@H](C1CCN(S(C)(=O)=O)CC1)C1C=C(C(F)(F)F)C=CC=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1
7j,O=C(N(C1CCN(CC1)CC[C@H](C1CCN(S(C)(=O)=O)CC1)C1C=C(Cl)C=C(Cl)C=1)CC)CC1C=CC(S(=O)(C)=O)=CC=1