std_smiles,human VDss(L/kg)
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-0.0269
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0.204
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,0.613
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1.23
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,0.477
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,0.274
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,0.362
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,1.52
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,-0.456
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0.38
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,0.114
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,0.398
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,-0.796
CN1CCC[C@H]1c1cccnc1,0.415
Cn1c(=O)c2nc[nH]c2n(C)c1=O,-0.292
Cc1ncc([N+](=O)[O-])n1CCO,-0.398
Cc1ccccc1OCC(O)CNCCOc1ccc(C(N)=O)cc1,0.602
N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,-0.319
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,-0.125
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,0.176
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-0.886
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,-0.796
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,-1.15
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,-0.0706
O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1,0.342
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,1.78
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,-0.125
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,-0.824
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,0.973
Cc1cc(=O)n(-c2ccccc2)n1C,-0.114
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-1.01
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-0.886
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.146
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,-0.42
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,0.114
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,0.643
CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,0.0792
CC(=O)Oc1ccccc1C(=O)O,-0.658
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,-0.921
COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,-0.481
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,-0.0655
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,-1.4
CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.824
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,0.531
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0.633
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,-0.0969
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,-0.0605
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,0.362
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0.519
O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CS[C@H]12,-0.337
C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1,0.591
C[C@@H](C(=O)O)c1cccc(Oc2ccccc2)c1,-1.0
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0.505
COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,-0.495
C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,0.0792
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,0.0792
CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,-0.387
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.322
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,-0.959
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,0.23
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,-0.0506
Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,1.08
Cc1cccc(C)c1OCC(C)N,0.771
CN1CCN2c3ncccc3Cc3ccccc3C2C1,0.623
CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,-0.377
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,-0.678
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.201
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1.0
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,0.176
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,-0.721
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-0.0269
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1.26
NCC1(CC(=O)O)CCCCC1,-0.149
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,-0.602
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0.785
CC(C)NCC(O)COc1cccc2ccccc12,0.491
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.114
Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,0.176
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,0.23
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,0.23
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,1.15
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,0.949
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-1.1
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,-0.0555
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,0.362
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,-0.678
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,-0.284
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,-0.585
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,0.114
C=CCc1ccccc1OCC(O)CNC(C)C,0.505
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-1.02
CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,-0.921
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,-0.337
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,-0.229
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,0.301
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0.681
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-0.432
NC12CC3CC(CC(C3)C1)C2,0.82
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,1.65
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,0.519
COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,1.08
C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,0.342
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,0.23
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,-0.658
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,0.23
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.23
Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,-0.721
O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1,1.04
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,0.869
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,0.643
CNCCCC12CCC(c3ccccc31)c1ccccc12,1.65
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0.0414
C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1.08
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-0.0269
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.681
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-0.237
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,-0.347
CN(C)CCC=C1c2ccccc2CCc2ccccc21,0.94
CC(Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,-0.523
CCN(CC)CC(=O)Nc1c(C)cccc1C,0.255
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-1.05
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,-0.602
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-0.102
N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,0.114
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-0.0223
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,-0.0458
CNCCCN1c2ccccc2CCc2ccccc21,1.18
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,1.2
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,0.342
CC(C)NCC(O)COc1cccc2[nH]ccc12,0.0792
CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,0.0414
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-0.886
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,0.462
C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,-0.161
Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,-0.602
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.204
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,-0.0706
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,-0.0969
CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,0.204
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,-0.678
C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21,-0.114
CC(C)c1cccc(C(C)C)c1O,0.672
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,-0.658
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,-0.62
COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-0.62
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,-0.244
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,-0.347
CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,0.556
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,-0.42
O=c1[nH]cnc2[nH]ncc12,-0.237
CCCC(CCC)C(=O)O,-0.854
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,1.18
Clc1cccc(Cl)c1NC1=NCCN1,0.519
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O,-0.569
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-0.658
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,0.0414
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,0.176
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,0.301
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,-0.959
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1.08
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,1.26
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,0.255
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,0.544
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-0.921
CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,0.114
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,0.176
CN(C)CCCN1c2ccccc2Sc2ccccc21,0.908
Nc1c2c(nc3ccccc13)CCCC2,1.04
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,-0.523
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0.0792
COCCc1ccc(OCC(O)CNC(C)C)cc1,0.491
Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,-0.796
CN/C(=N\CCSCc1nc[nH]c1C)NC#N,0.0792
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,-0.658
CN(C)CCOC(c1ccccc1)c1ccccc1,0.813
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,0.785
Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,-0.721
C[C@H](C(=O)O)c1ccc(C(=O)c2ccccc2)s1,-1.1
CC(=O)Nc1ccc(O)cc1,0.0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,0.643
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0.568
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0.0792
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.204
CCN(CC)CCNC(=O)c1ccc(N)cc1,0.342
CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,0.279
CN(C)CCCN1c2ccccc2CCc2ccccc21,1.08
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,-0.456
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-0.367
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,0.204
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,-0.167
CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,0.0
Nc1ccc(O)c(C(=O)O)c1,-0.481
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,1.11
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,-0.292
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,0.255
O=C1C(CC[S+]([O-])c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,-0.921
CNCCC=C1c2ccccc2CCc2ccccc21,1.34
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,-0.187
