std_smiles,VDss (L/kg)
CN1C(=O)CC[C@H]1c1cccnc1,0.0414
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,-0.602
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,-0.77
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C)CS[C@H]12)c1csc(N)n1,-0.553
N/N=c1/cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2,0.342
C/C=C/C[C@@H](C)C(=O)[C@@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,0.255
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.681
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0.279
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,0.279
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@@H]12)c1csc(N)n1,-0.699
CCOc1ccccc1OCC1CNCCO1,-0.137
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,0.255
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](c3ccccc3)S(=O)(=O)O)C(=O)N2[C@H]1C(=O)O,-0.824
CCCC[C@@H]1CC(=O)[C@]2(O)O[C@@H]3[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@H]3O[C@@H]2O1,-0.155
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-0.432
C[C@@H]1CC2=CC(=O)CCC2C2CCC3(C)C(O)CCC3C21,-0.0969
NC(=O)c1csc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,0.0414
CC[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,0.447
CCCCCCCCOCCOC(=O)CN(CC(=O)O)c1ccccc1OCCOc1ccccc1N(CC(=O)O)CC(=O)OCCOCCCCCCCC,0.0414
O=C(O)[C@@H]1C[C@@H](C2CCCCC2)CN1C(=O)CP(=O)(O)CCCCc1ccccc1,-0.886
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21,-0.0605
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,1.0
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,0.23
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,1.2
CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,0.69
CCOC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,0.204
CCCCCN(CCCOC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,-0.62
Oc1ccc2c3c1OC1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,0.663
CC(C(O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,0.643
O=C1c2cccc3c2C(CCC3)CN1C1CN2CCC1CC2,0.799
Nc1ccn(C2CC[C@@H](CO)O2)c(=O)n1,-0.268
NC(=O)CN1CC(O)CC1=O,-0.26
O=S=c1[nH]cco1,-0.77
S=C1NCN=C2N=CN=C12,0.0
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,0.176
C[C@@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3C[C@](O)(C(=O)CO)Cc4c(O)c5c(c(O)c43)C(=O)c3ccccc3C5=O)O[C@H]2C)C[C@H](N)[C@@H]1O,0.38
CC1(C)S[C@@H]2C(NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,-0.62
CCN(CC)CC(=O)Nc1c(C)cccc1C,0.255
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,0.785
CN[C@@H]1C(O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,-0.721
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,-0.284
CN(/N=C/c1ccccc1[N+](=O)[O-])C(c1ccccc1[N+](=O)[O-])N(C)/N=C/c1ccccc1[N+](=O)[O-],-0.481
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,0.0792
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@@H]1O,-0.229
NCC1(CC(=O)O)CCCCC1,-0.149
NCc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CSC12,-0.77
Cc1cccc([C@@H](C)c2c[nH]cn2)c1C,0.204
C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,-0.553
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,0.114
CC[C@H](C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CCCNC(=N)N)[C@@H](C)CC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,-0.456
COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21,1.0
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-0.0269
COc1ccc(Cl)cc1C(=O)NC(C)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-1.1
O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,-0.432
CCN1C(C)=C(C(=O)[O-])C(c2cccc([N+](=O)[O-])c2C)C(C(=O)[O-])=C1C,0.785
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,1.11
NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,0.0792
CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1,0.255
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)C)cn2)nc(-c2ccnc(-c3nn[nH]n3)c2)nc1OCCO,-0.553
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,0.591
CC1(C)SC2C(N(NC(=O)N3CCNC3=O)C(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,-0.585
CCCCCNC(=O)c1coc([C@@H]2[C@@H]3CC[C@@H](O3)[C@@H]2Cc2ccccc2CCC(=O)O)n1,0.643
C[NH2+][C@]1(c2ccccc2Cl)CCCCC1=O,0.462
NC[C@H]1OC(O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-0.585
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,1.36
[2H]c1c([2H])c([2H])c(C2=NCc3cnc(C)n3-c3ccc(Cl)cc32)c(F)c1[2H],0.0414
CC[C@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2CC(=O)[C@H](CS[C@@H]3CN4CCC3CC4)CN2C(=O)[C@H](Cc2ccc(N(C)C)cc2)N(C)C(=O)[C@@H]2CCCN2C1=O,-0.174
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CS[C@H]12)c1csc(N)n1,-0.62
CCC[C@@H]1C[C@@H](C(=O)N[C@@H](C(C)Cl)[C@H]2O[C@@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,-0.102
CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21,0.82
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,-0.328
CCC#CC[C@H](C)[C@H](O)C#C[C@@H]1[C@H]2C/C(=C\COCC(=O)O)C[C@H]2C[C@H]1O,-1.1
CCn1cc(C(=O)O)c(=O)c2ccc(N3CCNCC3)cc21,0.301
C[C@H]1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCN=C(N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,-0.77
C[C@H](NCCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1,0.643
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,0.146
CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)O,-0.119
Cc1cc(-n2cccc2)c(S(C)(=O)=O)cc1C(=O)N=C(N)N,0.0414
CCCCCCCCC/C=C/C=C/C(=O)NCC(=O)N[C@H]1[C@H]([C@@H](O)CO)O[C@H](Nc2ncnc3nc[nH]c23)[C@H](O)[C@@H]1O,-0.77
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.23
C/C=C1/NC(=O)[C@H]2CSSCC/C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,0.0792
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,-0.0506
C[C@H]1C(=O)O[C@H]2[CH]C34[C@H]5[CH][C@@H](C(C)(C)C)C36C(OC(=O)[C@@H]6O)O[C@@]4(C(=O)O5)[C@]21O,-0.208
CC[C@@](O)(C(=O)O)c1cc2n(c(=O)c1CO)Cc1c-2nc2cc(F)c(C)c3c2c1[C@@H](N)CC3,-0.357
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,0.0792
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,-0.42
Nc1ncnc2c1ncn2CCOCP(=O)(O)O,-0.377
CC(O)[C@H]1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)[C@H](C)[C@H]12,-0.699
Cc1ccc(O)c([C@@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,0.176
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,-0.0706
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,-0.678
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,-0.229
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,-0.0969
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,-0.131
COc1ccc(-c2nc3c([nH]2)C=CC(C2=C(C)C=NC(=O)C2)C3)cc1,0.301
C[C@@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,-0.745
COc1cc(CC(=O)NCC(=O)N(CCC(=O)O)Cc2ccc(OC)c(OC)c2)ccc1NC(=O)Nc1ccccc1C,-0.602
O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1,-0.222
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,-0.0132
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,0.477
N#CC(CCN1CCC(C(N)=O)(N2CCCCC2)CC1)(c1ccccc1)c1ccccc1,0.672
N=C(N)NCCCC[C@@H]1NC(=O)CCSSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,-0.77
[2H]C([2H])([2H])N(C)C(C)CC(C(=O)CC)(c1ccccc1)c1ccccc1,0.643
CCC1(c2cccc(O)c2)CCCCN(C)C1,0.519
C[C@@](O)(/C=C/[C@@H]1CC=CC(=O)O1)[C@@H](C[C@@H](O)/C=C\C=C/C=C/CO)OP(=O)(O)O,-1.07
[2H]C([2H])(O)C([2H])([2H])OCn1cnc2c(O)nc(N)nc21,-0.149
CCCCCN(CCCOC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,-0.745
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,0.204
CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,-0.678
COCCNC(=O)CN(CCN(CCN(CC(=O)[O-])CC(=O)NCCOC)CC(=O)[O-])CC(=O)[O-],-0.796
Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,-0.553
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,0.176
CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,-0.244
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,-0.0706
Nc1nc(/C(=N\O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4\CCN([C@@H]5CCNC5)C4=O)CS[C@H]23)ns1,-0.569
CC(C)NCC(O)COc1cccc2ccccc12,0.491
Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,-0.31
CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC21,-0.77
CCCCCC1=NC=CC=CC=C1,0.531
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,-0.00877
CN(C)CCN(Cc1cccs1)c1ccccn1,0.519
Cc1cc(=O)n(-c2ccccc2)n1C,-0.114
CCCC[N+](CCCC)(CCCC)CCCC,0.176
CN1CCC[C@H]1c1cccnc1,0.415
N[C@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4C[C@H]4F)c3c2Cl)CC12CC2,0.176
Clc1ccccc1N1CCNCC1,0.398
COc1cc(NC(C)CCCN)c2ncccc2c1,0.602
C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,0.255
CN(C)CC/C=C1\c2ccccc2COc2ccccc21,1.08
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@H](O)c4ccccc4)[C@H]3SC2)s1,-0.886
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,1.65
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@@H]1C(=O)[O-],-1.05
C[C@@H]1O[C@@H]1P(=O)(O)O,-0.495
CC12Cc3cn[nH]c3C(O)C1CCC1C2CCC2(C)C1CC(O)C2(C)O,-0.523
CNC1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,0.556
CN1C(C(=O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,-0.721
O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0.58
CCCCCCCCCCNCCN[C@@]1(C)C[C@H](O[C@H]2[C@H](Oc3c4cc5cc3Oc3ccc(cc3Cl)[C@@H](O)[C@@H](NC(=O)[C@@H](CC(C)C)NC)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]5C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c5cc(O)c(CNCP(=O)(O)O)c(O)c5-c5cc3ccc5O)[C@H](O)c3ccc(c(Cl)c3)O4)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@@H](C)[C@H]1O,-0.959
CC1CN([C@H]2C=C[C@@H](CO)O2)C(=O)NC1=O,-0.174
CNC1C(O)C([NH2+]C)C2OC3(O)C(=O)CC(C)OC3OC2C1O,-0.886
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,0.279
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.204
COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,-0.495
CC(C)NCC(O)c1ccc(O)c(O)c1,0.176
CC(=O)OC1C=C2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2CC1N1CCCCC1,-0.523
CCOC(=O)NC1CC2CCC1C2,-0.131
O=C(O)CC(=O)c1ccc(F)cc1,-0.119
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,0.591
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-0.0269
CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1,0.176
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-0.0269
COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,-1.0
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)[O-])O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,1.18
C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,0.342
NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,-0.77
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12,-0.921
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,-0.921
CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CSC12)c1csc(N)n1,-1.27
COc1cc2c(cc1OC)[C@@H](Cc1cc(OC)c(OC)c(OC)c1)[N+](C)(CCCOC(=O)CCC=CCCC(=O)OCCC[N+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2,-0.569
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@@H]3C45CCN4CC=C[C@@](CC)([C@H](OC(C)=O)[C@]3(O)C(=O)OC)[C@H]45)C2)C1,1.45
C[C@H](N)Cc1ccccc1,0.785
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,0.176
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,0.0414
