std_smiles,std_relation,VDss (L/kg),inchi_key
CN1C(=O)CC[C@H]1c1cccnc1,=,1.1,UIKROCXWUNQSPJ-VIFPVBQESA-N
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,=,0.25,LSQZJLSUYDQPKJ-NJBDSQKTSA-N
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,=,0.17,FPPNZSSZRUTDAP-UWFZAAFLSA-N
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C)CS[C@H]12)c1csc(N)n1,=,0.28,MQLRYUCJDNBWMV-GHXIOONMSA-N
N/N=c1/cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2,=,2.2,ALAXZYHFVBSJKZ-UHFFFAOYSA-N
C/C=C/C[C@@H](C)C(=O)[C@@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,=,1.8,YJDYDFNKCBANTM-LLAKQOBUSA-N
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,=,4.8,SGUAFYQXFOLMHL-UHFFFAOYSA-N
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,=,1.9,NDAUXUAQIAJITI-UHFFFAOYSA-N
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,=,1.9,KEECCEWTUVWFCV-UHFFFAOYSA-N
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@@H]12)c1csc(N)n1,=,0.2,NNULBSISHYWZJU-NNFJCDMRSA-N
CCOc1ccccc1OCC1CNCCO1,=,0.73,YWPHCCPCQOJSGZ-UHFFFAOYSA-N
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,=,1.8,HBOMLICNUCNMMY-XLPZGREQSA-N
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](c3ccccc3)S(=O)(=O)O)C(=O)N2[C@H]1C(=O)O,=,0.15,JETQIUPBHQNHNZ-NJBDSQKTSA-N
CCCC[C@@H]1CC(=O)[C@]2(O)O[C@@H]3[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@H]3O[C@@H]2O1,=,0.7,KHAUBYTYGDOYRU-IRXASZMISA-N
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,=,0.37,PSIFNNKUMBGKDQ-UHFFFAOYSA-N
C[C@@H]1CC2=CC(=O)CCC2C2CCC3(C)C(O)CCC3C21,=,0.8,YSGQGNQWBLYHPE-BRIGUCEYSA-N
NC(=O)c1csc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,=,1.1,FVRDYQYEVDDKCR-DBRKOABJSA-N
CC[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,=,2.8,LJOQGZACKSYWCH-QPWZMSJCSA-N
CCCCCCCCOCCOC(=O)CN(CC(=O)O)c1ccccc1OCCOc1ccccc1N(CC(=O)O)CC(=O)OCCOCCCCCCCC,=,1.1,FTGBVHPWUIHWRH-UHFFFAOYSA-N
O=C(O)[C@@H]1C[C@@H](C2CCCCC2)CN1C(=O)CP(=O)(O)CCCCc1ccccc1,=,0.13,WOIWWYDXDVSWAZ-RTWAWAEBSA-N
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21,=,0.87,QLJODMDSTUBWDW-BXMDZJJMSA-M
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,=,10.0,GXJABQQUPOEUTA-RDJZCZTQSA-N
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,=,1.7,KQKPFRSPSRPDEB-UHFFFAOYSA-N
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,=,16.0,ZSCDBOWYZJWBIY-UHFFFAOYSA-N
CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,=,4.9,RMRJXGBAOAMLHD-IHFGGWKQSA-N
CCOC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,=,1.6,NMPOSNRHZIWLLL-XUWVNRHRSA-N
CCCCCN(CCCOC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,=,0.24,QNQZBKQEIFTHFZ-UHFFFAOYSA-N
Oc1ccc2c3c1OC1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,=,4.6,NETZHAKZCGBWSS-XDWDPSITSA-N
CC(C(O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,=,4.4,QEMSVZNTSXPFJA-UHFFFAOYSA-N
O=C1c2cccc3c2C(CCC3)CN1C1CN2CCC1CC2,=,6.3,CPZBLNMUGSZIPR-UHFFFAOYSA-N
Nc1ccn(C2CC[C@@H](CO)O2)c(=O)n1,=,0.54,WREGKURFCTUGRC-UUEFVBAFSA-N
NC(=O)CN1CC(O)CC1=O,=,0.55,IHLAQQPQKRMGSS-UHFFFAOYSA-N
O=S=c1[nH]cco1,=,0.17,ZKICZLXIRMBZFX-UHFFFAOYSA-N
S=C1NCN=C2N=CN=C12,=,1.0,CUZDKDJIGVUXCI-UHFFFAOYSA-N
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,=,1.5,BLJRIMJGRPQVNF-JTQLQIEISA-N
C[C@@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3C[C@](O)(C(=O)CO)Cc4c(O)c5c(c(O)c43)C(=O)c3ccccc3C5=O)O[C@H]2C)C[C@H](N)[C@@H]1O,=,2.4,VQHRZZISQVWPLK-UIRGBLDSSA-N
CC1(C)S[C@@H]2C(NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,=,0.24,JGSARLDLIJGVTE-VBVNFKHJSA-N
CCN(CC)CC(=O)Nc1c(C)cccc1C,=,1.8,NNJVILVZKWQKPM-UHFFFAOYSA-N
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,=,6.1,DJBNUMBKLMJRSA-UHFFFAOYSA-N
CN[C@@H]1C(O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,=,0.19,URWAJWIAIPFPJE-JYERGDCNSA-N
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,=,0.52,PHLBKPHSAVXXEF-UHFFFAOYSA-N
CN(/N=C/c1ccccc1[N+](=O)[O-])C(c1ccccc1[N+](=O)[O-])N(C)/N=C/c1ccccc1[N+](=O)[O-],=,0.33,LLMRAEGWKAYSSZ-FEZYOMQXSA-N
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,=,1.2,QJJXYPPXXYFBGM-LFZNUXCKSA-N
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@@H]1O,=,0.59,ADIMAYPTOBDMTL-OAHLLOKOSA-N
NCC1(CC(=O)O)CCCCC1,=,0.71,UGJMXCAKCUNAIE-UHFFFAOYSA-N
NCc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CSC12,=,0.17,SLAYUXIURFNXPG-UHFFFAOYSA-N
Cc1cccc([C@@H](C)c2c[nH]cn2)c1C,=,1.6,CUHVIMMYOGQXCV-LLVKDONJSA-N
C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,=,0.28,ZWAOHEXOSAUJHY-ZIYNGMLESA-N
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,=,1.3,ZBMZVLHSJCTVON-UHFFFAOYSA-N
CC[C@H](C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CCCNC(=N)N)[C@@H](C)CC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,=,0.35,OIOAIKUIIYGBIO-JESVACHVSA-N
COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21,=,10.0,ULYONBAOIMCNEH-HNNXBMFYSA-N
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,=,0.94,UREBDLICKHMUKA-CXSFZGCWSA-N
COc1ccc(Cl)cc1C(=O)NC(C)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,=,0.08,SAXQMDVJWUXSFZ-UHFFFAOYSA-N
O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,=,0.37,OZOMQRBLCMDCEG-UHFFFAOYSA-N
CCN1C(C)=C(C(=O)[O-])C(c2cccc([N+](=O)[O-])c2C)C(C(=O)[O-])=C1C,=,6.1,MQESJBJIGCTSLG-UHFFFAOYSA-L
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,=,13.0,FNYLWPVRPXGIIP-UHFFFAOYSA-N
NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,=,1.2,XUFQPHANEAPEMJ-UHFFFAOYSA-N
CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1,=,1.8,ZJKNESGOIKRXQY-UHFFFAOYSA-N
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)C)cn2)nc(-c2ccnc(-c3nn[nH]n3)c2)nc1OCCO,=,0.28,TUYWTLTWNJOZNY-UHFFFAOYSA-N
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,=,3.9,FPCCSQOGAWCVBH-UHFFFAOYSA-N
CC1(C)SC2C(N(NC(=O)N3CCNC3=O)C(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,=,0.26,LNPZUSALIRFFGM-UHFFFAOYSA-N
CCCCCNC(=O)c1coc([C@@H]2[C@@H]3CC[C@@H](O3)[C@@H]2Cc2ccccc2CCC(=O)O)n1,=,4.4,BBPRUNPUJIUXSE-SQMWVJLWSA-N
C[NH2+][C@]1(c2ccccc2Cl)CCCCC1=O,=,2.9,YQEZLKZALYSWHR-ZDUSSCGKSA-O
NC[C@H]1OC(O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,=,0.26,SBUJHOSQTJFQJX-MMBTZOPTSA-N
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,=,23.0,XGALLCVXEZPNRQ-UHFFFAOYSA-N
[2H]c1c([2H])c([2H])c(C2=NCc3cnc(C)n3-c3ccc(Cl)cc32)c(F)c1[2H],=,1.1,DDLIGBOFAVUZHB-QFFDRWTDSA-N
CC[C@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2CC(=O)[C@H](CS[C@@H]3CN4CCC3CC4)CN2C(=O)[C@H](Cc2ccc(N(C)C)cc2)N(C)C(=O)[C@@H]2CCCN2C1=O,=,0.67,WTHRRGMBUAHGNI-LCYNINFDSA-N
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CS[C@H]12)c1csc(N)n1,=,0.24,DKOQGJHPHLTOJR-WHRDSVKCSA-N
CCC[C@@H]1C[C@@H](C(=O)N[C@@H](C(C)Cl)[C@H]2O[C@@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,=,0.79,KDLRVYVGXIQJDK-NQQGAZBYSA-N
CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21,=,6.6,ROTCPJFWLNDKHU-UHFFFAOYSA-N
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,=,0.47,NMUSYJAQQFHJEW-KVTDHHQDSA-N
CCC#CC[C@H](C)[C@H](O)C#C[C@@H]1[C@H]2C/C(=C\COCC(=O)O)C[C@H]2C[C@H]1O,=,0.08,ARUGKOZUKWAXDS-WPWWXZMJSA-N
CCn1cc(C(=O)O)c(=O)c2ccc(N3CCNCC3)cc21,=,2.0,GHRVKTJOLCCNCJ-UHFFFAOYSA-N
C[C@H]1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCN=C(N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,=,0.17,KXNPVXPOPUZYGB-XYVMCAHJSA-N
C[C@H](NCCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1,=,4.4,IOVGROKTTNBUGK-SJCJKPOMSA-N
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,=,1.4,BNRNXUUZRGQAQC-UHFFFAOYSA-N
CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)O,=,0.76,ODAIHABQVKJNIY-PEDHHIEDSA-N
Cc1cc(-n2cccc2)c(S(C)(=O)=O)cc1C(=O)N=C(N)N,=,1.1,UADMBZFZZOBWBB-UHFFFAOYSA-N
CCCCCCCCC/C=C/C=C/C(=O)NCC(=O)N[C@H]1[C@H]([C@@H](O)CO)O[C@H](Nc2ncnc3nc[nH]c23)[C@H](O)[C@@H]1O,=,0.17,LQIPDFIUPOYMPR-BKYURJJWSA-N
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,=,1.7,XUBOMFCQGDBHNK-UHFFFAOYSA-N
C/C=C1/NC(=O)[C@H]2CSSCC/C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,=,1.2,OHRURASPPZQGQM-UBQUJCNUSA-N
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,=,0.89,PJMPHNIQZUBGLI-UHFFFAOYSA-N
C[C@H]1C(=O)O[C@H]2[CH]C34[C@H]5[CH][C@@H](C(C)(C)C)C36C(OC(=O)[C@@H]6O)O[C@@]4(C(=O)O5)[C@]21O,=,0.62,HZVPKDKMOQFQOE-DHAJINMISA-N
CC[C@@](O)(C(=O)O)c1cc2n(c(=O)c1CO)Cc1c-2nc2cc(F)c(C)c3c2c1[C@@H](N)CC3,=,0.44,FSIYVZXCHYTWIP-FYSMJZIKSA-N
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,=,1.2,AQNDDEOPVVGCPG-UHFFFAOYSA-N
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,=,0.38,GFIJNRVAKGFPGQ-LIJARHBVSA-N
Nc1ncnc2c1ncn2CCOCP(=O)(O)O,=,0.42,SUPKOOSCJHTBAH-UHFFFAOYSA-N
CC(O)[C@H]1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)[C@H](C)[C@H]12,=,0.2,MRMBZHPJVKCOMA-WAOAVRLKSA-N
Cc1ccc(O)c([C@@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,=,1.5,OOGJQPCLVADCPB-FQEVSTJZSA-N
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,=,0.85,VHGCDTVCOLNTBX-QGZVFWFLSA-N
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,=,0.21,NGBFQHCMQULJNZ-UHFFFAOYSA-N
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,=,0.59,HJLSLZFTEKNLFI-UHFFFAOYSA-N
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,=,0.8,VREFGVBLTWBCJP-UHFFFAOYSA-N
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,=,0.74,ALWKGYPQUAPLQC-UHFFFAOYSA-N
COc1ccc(-c2nc3c([nH]2)C=CC(C2=C(C)C=NC(=O)C2)C3)cc1,=,2.0,KLURSSJEJXFGDM-UHFFFAOYSA-N
C[C@@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,=,0.18,WZPBZJONDBGPKJ-DZIOLEBDSA-N
COc1cc(CC(=O)NCC(=O)N(CCC(=O)O)Cc2ccc(OC)c(OC)c2)ccc1NC(=O)Nc1ccccc1C,=,0.25,WZFRNNCNGXELDE-UHFFFAOYSA-N
O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1,=,0.6,BSJMWHQBCZFXBR-UHFFFAOYSA-N
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,=,0.97,HJYYPODYNSCCOU-ODRIEIDWSA-N
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,=,3.0,RCINICONZNJXQF-MZXODVADSA-N
N#CC(CCN1CCC(C(N)=O)(N2CCCCC2)CC1)(c1ccccc1)c1ccccc1,=,4.7,IHEHEFLXQFOQJO-UHFFFAOYSA-N
N=C(N)NCCCC[C@@H]1NC(=O)CCSSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,=,0.17,CZKPOZZJODAYPZ-LROMGURASA-N
[2H]C([2H])([2H])N(C)C(C)CC(C(=O)CC)(c1ccccc1)c1ccccc1,=,4.4,USSIQXCVUWKGNF-HPRDVNIFSA-N
CCC1(c2cccc(O)c2)CCCCN(C)C1,=,3.3,JLICHNCFTLFZJN-UHFFFAOYSA-N
C[C@@](O)(/C=C/[C@@H]1CC=CC(=O)O1)[C@@H](C[C@@H](O)/C=C\C=C/C=C/CO)OP(=O)(O)O,=,0.086,ZMQRJWIYMXZORG-GZIFKOAOSA-N
[2H]C([2H])(O)C([2H])([2H])OCn1cnc2c(O)nc(N)nc21,=,0.71,MKUXAQIIEYXACX-LNLMKGTHSA-N
CCCCCN(CCCOC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,=,0.18,QNQZBKQEIFTHFZ-GOSISDBHSA-N
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,=,1.6,AQCHWTWZEMGIFD-UHFFFAOYSA-N
CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,=,0.21,DRHKJLXJIQTDTD-OAHLLOKOSA-N
COCCNC(=O)CN(CCN(CCN(CC(=O)[O-])CC(=O)NCCOC)CC(=O)[O-])CC(=O)[O-],=,0.16,AXFGWXLCWCNPHP-UHFFFAOYSA-K
Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,=,0.28,MJIHNNLFOKEZEW-UHFFFAOYSA-N
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,=,1.5,FHFYDNQZQSQIAI-UHFFFAOYSA-N
CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,=,0.57,JHVAMHSQVVQIOT-MFAJLEFUSA-N
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,=,0.85,XIQVNETUBQGFHX-UHFFFAOYSA-N
Nc1nc(/C(=N\O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4\CCN([C@@H]5CCNC5)C4=O)CS[C@H]23)ns1,=,0.27,VOAZJEPQLGBXGO-YCGCJULASA-N
CC(C)NCC(O)COc1cccc2ccccc12,=,3.1,AQHHHDLHHXJYJD-UHFFFAOYSA-N
Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,=,0.49,VWFCHDSQECPREK-LURJTMIESA-N
CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC21,=,0.17,WZOZEZRFJCJXNZ-WMCAAGNKSA-N
CCCCCC1=NC=CC=CC=C1,=,3.4,GOVKUODTXBRZDJ-UHFFFAOYSA-N
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,=,0.98,VCKUSRYTPJJLNI-UHFFFAOYSA-N
CN(C)CCN(Cc1cccs1)c1ccccn1,=,3.3,HNJJXZKZRAWDPF-UHFFFAOYSA-N
Cc1cc(=O)n(-c2ccccc2)n1C,=,0.77,VEQOALNAAJBPNY-UHFFFAOYSA-N
CCCC[N+](CCCC)(CCCC)CCCC,=,1.5,DZLFLBLQUQXARW-UHFFFAOYSA-N
CN1CCC[C@H]1c1cccnc1,=,2.6,SNICXCGAKADSCV-JTQLQIEISA-N
N[C@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4C[C@H]4F)c3c2Cl)CC12CC2,=,1.5,PNUZDKCDAWUEGK-VBUNGHGYSA-N
Clc1ccccc1N1CCNCC1,=,2.5,PWZDJIUQHUGFRJ-UHFFFAOYSA-N
COc1cc(NC(C)CCCN)c2ncccc2c1,=,4.0,INDBQLZJXZLFIT-UHFFFAOYSA-N
C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,=,1.8,LOUPRKONTZGTKE-FOEVPDMQSA-N
CN(C)CC/C=C1\c2ccccc2COc2ccccc21,=,12.0,ODQWQRRAPPTVAG-GZTJUZNOSA-N
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@H](O)c4ccccc4)[C@H]3SC2)s1,=,0.13,VDFFPBOAOLQAJV-SUYBPPKGSA-N
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,=,45.0,AOJJSUZBOXZQNB-VTZDEGQISA-N
